Timestamp,Name,Status,Confidence
2025-12-02 09:38:59,aeron,GRANTED,0.44
2025-12-02 09:39:44,aeron,DENIED - Voice challenge failed,0.44
2025-12-02 21:45:41,aeron,GRANTED,0.44
